id,procedure_id,question,yes_next,no_next,diagnosis,recommended_action,outcome_warranty_status,related_actions,follow_up_message
101,1,"Does the phone show any sign of life such as vibration, sound, a charging symbol, or the Samsung logo?",102,104,,,,,
102,1,"Is the screen black, cracked, flickering, blurry, yellow, or otherwise not showing the normal picture?",110,105,,,,,
103,1,Outcome,,,Visible display damage is likely affecting startup visibility.,Book repair intake: explain that the display needs physical inspection and move the case to the screen issue repair path.,Cracks or impact damage are usually not covered.,Photograph the visible damage before intake.|Avoid promising warranty support where impact marks are already visible.,Explain that the phone appears alive but the visible display damage changes the repair and warranty path.
104,1,Has the customer already tried a different working charger and cable for at least 20 minutes and attempted a forced restart?,106,107,,,,,
105,1,Does the phone start after charging on an official charger for 20 minutes?,108,109,,,,,
106,1,Outcome,,,The phone still shows no life after a known-good charging and restart test.,"Send to service centre: record the charger used, forced-restart outcome, heat, liquid history, and any swelling, then arrange hardware diagnosis.",May be covered if no liquid or physical damage is found.,Record any heat smell liquid history or swelling before escalation.|Capture whether a forced restart was attempted successfully or not.,Tell the customer the branch recovery checks did not wake the phone so the next step is deeper inspection.
107,1,Outcome,,,The accessory or basic recovery step may be the problem rather than the phone itself.,Resolve at branch: repeat the test with a known-good charger and cable and complete the forced-restart check before booking repair.,Accessory outcome only. Device warranty is not decided yet.,Check the charging issue procedure if the port feels loose or charges slowly.|Do not dispatch before the branch has completed the basic charger and restart test.,Explain that the next safe step is to rule out the charger and quick recovery steps before sending the phone away.
108,1,Outcome,,,The battery was likely deeply drained or the phone recovered after a branch-level restart.,Monitor at branch: complete a full charge cycle and return only if drain or restart complaints repeat.,No repair decision yet. Monitor for repeat failure.,Suggest checking for damaged charging accessories if the issue returns.|Move to the charging issue flow if the phone charges unreliably after recovery.,Let the customer know the phone responded after sustained charging or restart which is a positive sign.
109,1,Outcome,,,The phone still receives power signals but does not start normally.,"Send to service centre: confirm branch charging and restart checks are complete, then arrange internal power or board-level diagnosis.",Depends on inspection results and visible damage.,Cross-check the screen issue flow if the display stays dark.|Prepare the customer for a longer repair timeline and record whether it is stuck on logo or loops.,Explain that the phone is not completing startup after the branch checks so it needs deeper technical inspection.
110,1,"Is there a visible crack, pressure mark, or impact point on the display or frame?",103,111,,,,,
111,1,"Does the phone keep vibrating, ringing, or showing charging signs while the screen stays black or abnormal?",112,105,,,,,
112,1,Outcome,,,The phone appears powered but the display path is failing without obvious external damage.,Book repair intake: capture the symptom clearly and arrange focused display inspection through the screen issue repair path.,May be covered if no impact or liquid history is found.,Confirm the symptom still happens during calls notifications or charging.|Capture photos even if no crack is visible so the next team sees the external condition.,Explain that the phone is active but the display is not responding normally so the next step is a display-focused repair check.
201,2,Is the screen cracked or showing clear impact marks?,202,203,,,,,
202,2,Outcome,,,Visible physical damage is likely causing the screen problem.,Book repair intake: explain paid repair options and arrange screen replacement if the customer approves.,Physical damage is usually outside warranty cover.,Photograph the damage before intake.|Explain the estimated repair cost range before collection.,Tell the customer the visible crack changes the repair path and warranty position.
203,2,"Does the problem remain on the lock screen, home screen, or Safe Mode after a restart?",204,207,,,,,
204,2,"Is touch unresponsive, or is the screen black, blurry, yellow, flickering, or showing lines?",205,208,,,,,
205,2,Outcome,,,An internal display or touch-layer fault is likely.,"Book repair intake: capture photos, confirm the symptom stays visible outside one app, then arrange screen inspection or replacement.",May be covered if there is no impact or liquid history.,Check the power flow if the device also fails to vibrate or ring.|Check for swelling or frame separation before intake.,"Explain that the issue stayed across the phone after restart or Safe Mode, so it likely needs hardware attention."
207,2,Outcome,,,The display complaint may be tied to one app or a temporary software condition.,"Resolve at branch: update the affected app, check brightness and color settings, and monitor before booking repair.",No repair decision yet.,Confirm whether the issue happens in all apps or only one screen.|Avoid dispatch if the symptom clears outside the affected app.,Tell the customer the issue does not yet look like a strong screen hardware fault.
208,2,Outcome,,,This looks more like a settings or content issue than a broken screen.,"Resolve at branch: check brightness, accessibility, eye comfort, night mode, and app-specific display settings before repair intake.",No repair decision yet.,Ask the customer to note exactly when the symptom appears again.|Take a screenshot if the customer says the effect is app-specific.,Let the customer know the branch check did not find a clear hardware screen fault yet.
301,3,Can the customer still access the registered phone number or recovery email?,302,304,,,,,
302,3,Can the device still be seen in a tracking or account service?,303,305,,,,,
303,3,Outcome,,,The device may still be reachable through a tracking service.,"Continue branch processing: guide the customer to secure the device remotely, keep tracking active, and avoid direct recovery attempts.",Theft is not covered under standard warranty.,Change key passwords immediately.|Advise the customer not to confront suspected thieves directly.,Explain that the safest priority is remote protection and formal reporting.
304,3,"Does the customer have proof of ownership such as a receipt, box, or registered account details?",306,307,,,,,
305,3,Outcome,,,"The device is no longer visible in tracking, but the customer still has account access.","Continue branch processing: help the customer lock accounts, block the SIM, and record the device identifiers for reporting.",Theft is not covered under standard warranty.,Confirm the IMEI or serial number if available.|Advise immediate password changes.,Tell the customer the focus now is preventing misuse and supporting formal reporting.
306,3,Outcome,,,"Ownership can be verified, so the branch can support recovery and reporting steps.","Continue branch processing: verify ownership, guide account protection, and prepare the case for the correct theft-handling follow-up.",Theft is not covered under standard warranty.,"Capture proof of ownership before giving account advice.|Keep the recovery and reporting path consistent once ownership is confirmed.","Explain that verified ownership allows the branch to support recovery actions more confidently and move the case through the right theft follow-up path."
307,3,Outcome,,,Ownership cannot yet be confirmed.,Pause and verify: ask the customer to gather proof of ownership before detailed account support is provided.,Theft is not covered under standard warranty.,Advise police reporting and network SIM blocking immediately.|Do not process replacement eligibility until ownership and theft status are properly verified.,Let the customer know the next helpful step is proving ownership so the branch can safely assist.
401,4,Does the phone charge normally with a different known-good charger and cable?,402,403,,,,,
402,4,Outcome,,,The original accessory is likely the cause of the charging complaint.,Resolve at branch: replace the charger or cable and avoid device repair intake.,Accessory only. Device warranty is not decided yet.,Advise use of approved charging accessories.,"Tell the customer the phone responded with a known-good charger, which points away from internal repair."
403,4,"Does the charging port look dirty, loose, damaged, show a moisture warning, or only work in one position?",404,405,,,,,
404,4,Outcome,,,The charging port may be blocked wet or physically damaged.,"Book repair intake: confirm what is visible, then arrange safe port cleaning, drying guidance, or charging-port repair as needed.",Damage-related port issues are usually not covered.,Do not force tools into the port at the branch desk.|If a moisture warning is present advise the customer to stop charging until the port is dry.,Explain that the charging port condition points to a hardware or moisture handling step.
405,4,Does the battery percentage stay low or fall even while the charger is connected?,406,407,,,,,
406,4,Outcome,,,The phone may have a battery-health or charging-circuit problem.,Send to service centre: arrange battery-health inspection or charging-path diagnosis after branch checks confirm the battery still falls while connected.,May be covered if there is no physical or liquid damage.,"Ask about heat, swelling, shutdowns, or recent liquid history.|Record whether the phone charges while powered off or only while idle.",Tell the customer the charger path is present but the phone is not storing power normally.
407,4,Outcome,,,The issue may be temporary usage-related or tied to the accessory rather than a clear hardware fault.,Monitor at branch: use approved accessories and return only if the charging symptom repeats under the same conditions.,No repair decision yet.,Remind the customer to test with approved accessories only.|Avoid dispatch when the branch cannot reproduce the complaint reliably.,Explain that the quick checks did not find a strong repair signal yet.
501,5,"Is the battery swollen, is the back cover lifting, or is there a burning smell?",502,503,,,,,
502,5,Outcome,,,The device may have an unsafe battery condition.,"Book repair intake: stop charging the phone, avoid pressing or bending it, and arrange urgent battery inspection or safe replacement handling.",Swollen or burnt battery cases usually need inspection before any warranty promise is made.,Do not package the phone tightly or continue charging it at the branch.,Explain that safety comes first because the battery may be physically unstable.
503,5,"Does the heat happen mainly while charging or during heavy use like hotspot, gaming, or video?",504,505,,,,,
504,5,Outcome,,,The heat may be usage-related or charger-related rather than a deep hardware failure.,"Monitor at branch: use a cooler charging environment, approved accessories, lighter background use, and a short observation period before repair intake.",No repair decision yet unless the symptom becomes extreme or repeatable.,"Remove thick cases during charging if safe to do so.|Reduce hotspot, gaming, or video load during testing.",Tell the customer the branch check points first to heat caused by use conditions rather than a confirmed internal defect.
505,5,"After stopping charge, removing the case, and restarting, does the phone still overheat while idle?",506,507,,,,,
